temperature,humidity,soil_moisture,crop
30,70,40,Wheat
25,80,50,Rice
28,65,35,Maize
22,90,60,Sugarcane
20,75,45,Barley
27,60,30,Cotton
26,85,55,Rice
29,68,38,Maize
24,72,42,Wheat
21,88,58,Sugarcane
23,77,48,Barley
28,63,36,Cotton
27,66,40,Maize
25,79,50,Rice
30,70,42,Wheat
22,83,55,Sugarcane
26,65,35,Cotton
24,75,45,Barley
29,68,38,Maize
25,80,50,Rice
28,64,36,Cotton
26,70,42,Rice
30,75,40,Wheat
24,80,45,Barley
22,78,55,Sugarcane
27,65,35,Maize
25,72,48,Rice
29,68,38,Maize
23,77,45,Barley
21,85,58,Sugarcane
26,66,32,Cotton
28,70,40,Wheat
24,73,46,Barley
27,65,35,Maize
25,80,50,Rice
30,68,42,Wheat
22,85,55,Sugarcane
26,63,36,Cotton
24,75,45,Barley
29,70,38,Maize
27,67,42,Rice
28,72,36,Cotton
25,78,50,Rice
30,70,40,Wheat
23,80,48,Barley
22,88,60,Sugarcane
26,64,35,Maize
24,75,42,Barley
29,68,38,Maize
25,79,50,Rice
28,66,36,Cotton
27,70,42,Rice
30,72,40,Wheat
24,78,45,Barley
22,83,55,Sugarcane
26,65,35,Cotton
25,75,48,Rice
29,70,38,Maize
27,68,42,Rice
28,64,36,Cotton
25,78,50,Rice
30,70,40,Wheat
23,80,48,Barley
22,88,60,Sugarcane
26,64,35,Maize
24,75,42,Barley
29,68,38,Maize
25,79,50,Rice
28,66,36,Cotton
27,70,42,Rice
30,72,40,Wheat
24,78,45,Barley
22,83,55,Sugarcane
26,65,35,Cotton
25,75,48,Rice
29,70,38,Maize
27,68,42,Rice
28,64,36,Cotton
25,78,50,Rice
30,70,40,Wheat
23,80,48,Barley
22,88,60,Sugarcane
26,64,35,Maize
24,75,42,Barley
29,68,38,Maize
25,79,50,Rice
28,66,36,Cotton
27,70,42,Rice
30,72,40,Wheat
24,78,45,Barley
22,83,55,Sugarcane
26,65,35,Cotton
25,75,48,Rice
29,70,38,Maize
27,68,42,Rice
28,64,36,Cotton




